ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"Moderate Accessibility","High Accessibility",1,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Very High Accessibility","Moderate Accessibility",3,"20702115802"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115803"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115804"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"20702115805"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115806"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115807"
"High Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"20702115808"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115809"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115810"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115811"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115812"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115813"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115814"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115815"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"20702115816"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115817"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115818"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115819"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115820"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115821"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115822"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115823"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115824"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20702115825"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"20702115826"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115827"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115828"
"Moderate Accessibility","High Accessibility",1,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115829"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115830"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115831"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115832"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115833"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115834"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115835"
"Moderate Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702115836"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702115837"
"High Accessibility","High Accessibility",2,201001,4,"Melbourne",2,2,"Low Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115838"
"Moderate Accessibility","Low Accessibility",3,201001,4,"Melbourne",4,3,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Moderate Accessibility",3,"20702115839"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115840"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115841"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115842"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"20702115843"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115844"
"Moderate Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115845"
"Moderate Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702115846"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702115847"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702115848"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115849"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115850"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115851"
"Very High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115852"
"Very High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115853"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115854"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20702115855"
"Very High Accessibility","Very High Accessibility",1,201001,2,"Melbourne",1,1,"High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20702115856"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115857"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115858"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"20702115859"
"Moderate Accessibility","Moderate Accessibility",3,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"20702115860"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115861"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115862"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115863"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"20702115864"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115865"
"Moderate Accessibility","Low Accessibility",3,201001,4,"Melbourne",4,3,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Moderate Accessibility",3,"20702115866"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115867"
"High Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,2,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702115868"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20702115869"
"Moderate Accessibility","Moderate Accessibility",1,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","Moderate Accessibility",3,"20702115901"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115902"
"High Accessibility","High Accessibility",2,201001,4,"Melbourne",2,2,"Low Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115903"
"High Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,2,"Low Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Very High Accessibility",1,"20702115904"
"Very High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115905"
"Very High Accessibility","High Accessibility",1,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115906"
"Moderate Accessibility","Moderate Accessibility",4,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Low Accessibility","High Accessibility",2,"20702115907"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115908"
"High Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,2,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","Very High Accessibility",1,"20702115909"
"Moderate Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702115910"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702115911"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115912"
"Very High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115913"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115914"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","High Accessibility",2,"20702115915"
"Moderate Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,3,"Low Accessibility","Low Accessibility",4,"Low Accessibility","Moderate Accessibility",3,"20702115916"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702115917"
"Moderate Accessibility","Moderate Accessibility",4,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Low Accessibility","High Accessibility",2,"20702115918"
"Low Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Low Accessibility","Low Accessibility",4,"20702115919"
"High Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115920"
"High Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,2,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"20702115921"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115922"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115923"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115924"
"Moderate Accessibility","Low Accessibility",5,201001,4,"Melbourne",4,3,"Low Accessibility","Low Accessibility",4,"Limited Accessibility","Low Accessibility",4,"20702115925"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115926"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Moderate Accessibility",3,"20702115927"
"Moderate Accessibility","Moderate Accessibility",3,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"20702115928"
"High Accessibility","High Accessibility",1,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20702115929"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702115930"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Very High Accessibility",1,"20702115931"
"Low Accessibility","Low Accessibility",5,201001,5,"Melbourne",4,4,"Limited Accessibility","Low Accessibility",4,"Limited Accessibility","Moderate Accessibility",3,"20702115932"
"Very High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702115933"
"Very High Accessibility","High Accessibility",1,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115934"
"Moderate Accessibility","Low Accessibility",3,201001,4,"Melbourne",4,3,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Low Accessibility",4,"20702115935"
"High Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115936"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702115937"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115938"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702115939"
"Moderate Accessibility","High Accessibility",1,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702115940"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115941"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115942"
"High Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,2,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"20702115943"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702115944"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116001"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116002"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116003"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Very High Accessibility",1,"20702116004"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116005"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702116006"
"High Accessibility","Moderate Accessibility",3,201001,2,"Melbourne",3,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702116007"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702116008"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116009"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116010"
"Very High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116011"
"High Accessibility","Very High Accessibility",1,201001,3,"Melbourne",1,2,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20702116012"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116013"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116014"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116015"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116016"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"Very High Accessibility","High Accessibility",2,"20702116017"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702116018"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20702116019"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116020"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"20702116021"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","High Accessibility",2,"20702116022"
"Very High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,1,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20702116023"
"Very High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"20702116024"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702116025"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702116026"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702116027"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"20702116028"
"High Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,2,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20702116029"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20702116030"
"High Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702116031"
"High Accessibility","High Accessibility",3,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20702116032"
"Very High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"20702116033"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116101"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116102"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116103"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20703116104"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20703116105"
"High Accessibility","High Accessibility",1,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20703116106"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116107"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116108"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116109"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116110"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20703116111"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20703116112"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"20703116113"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20703116114"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116115"
"High Accessibility","High Accessibility",1,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20703116116"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116117"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20703116118"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"20703116119"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116120"
"High Accessibility","Very High Accessibility",1,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116121"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116122"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20703116123"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20703116124"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20703116125"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20703116126"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20703116127"
