Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.200241,0.590893,0.623641,"Clayton South",0.208865,28698.85271,21175
0.544786,0.312279,0.750885,"Clifton Hill",0.142935,57645.73557,21177
0.306027,0.485085,0.671035,"Coburg",0.208889,35947.10957,21179
0.21411,0.566852,0.619679,"Coburg North",0.219039,31415.27578,21181
0.360913,0.475811,0.627817,"Collingwood",0.163277,40701.23494,21183
0.049159,0.80207,0.44186,"Coolaroo",0.148771,19797.72725,21185
0.083112,0.631364,0.721863,"Craigieburn",0.285524,36151.90748,21187
0.055035,0.660299,0.669873,"Cranbourne",0.284666,32609.05915,21189
0.085025,0.615469,0.736409,"Cranbourne East",0.299506,39027.07474,21191
0.06351,0.633372,0.724509,"Cranbourne North",0.303118,35790.06033,21193
0.060455,0.648521,0.701125,"Cranbourne West",0.291023,35607.88499,21197
0.440538,0.369183,0.770812,"Cremorne",0.190279,58333.65736,21199
0.061251,0.602837,0.666883,"Crib Point",0.335912,31029.49104,21201
0.168731,0.517813,0.721097,"Croydon",0.313456,37749.20887,21203
0.22168,0.46741,0.801399,"Croydon Hills",0.31091,45764.1733,21205
0.191584,0.482426,0.781327,"Croydon North",0.32599,43248.11724,21207
0.160401,0.52548,0.74812,"Croydon South",0.314119,38822.41283,21209
0.064181,0.782359,0.387513,"Dallas",0.15346,17557.71029,21211
0.133054,0.641717,0.501189,"Dandenong",0.225229,25791.73962,21213
0.122402,0.621642,0.61914,"Dandenong North",0.255955,29936.7024,21215
0.054652,0.813934,0.459583,"Dandenong South",0.131414,23629.44626,21217
0.079796,0.696134,0.572804,"Deer Park",0.22407,27605.43721,21219
0.109841,0.682328,0.630311,"Delahey",0.207831,30789.81785,21221
0.221719,0.527149,0.755355,"Derrimut",0.251131,40882.39692,21223
0.194754,0.444484,0.813185,"Diamond Creek",0.360762,44828.49839,21225
0.178205,0.501349,0.780738,"Dingley Village",0.320446,42365.06117,21227
0.372321,0.443879,0.720668,"Docklands",0.183799,66265.91076,21229
0.329792,0.447086,0.687743,"Doncaster",0.223122,38726.17321,21231
0.309827,0.439295,0.715742,"Doncaster East",0.250878,38767.47334,21233
0.313344,0.423473,0.74192,"Donvale",0.263183,45459.01661,21235
0.058235,0.715321,0.51949,"Doveton",0.226443,24944.53101,21237
0.125514,0.560494,0.623865,"Dromana",0.313992,30478.9968,21239
0.518371,0.284508,0.787234,"Eaglemont",0.19712,58629.05856,21241
0.541733,0.312282,0.748014,"East Melbourne",0.145985,64787.83357,21243
0.198589,0.476986,0.737194,"Edithvale",0.324425,41091.38932,21245
0.455453,0.3479,0.752544,"Elsternwick",0.196647,52335.95088,21247
0.314218,0.379257,0.803592,"Eltham",0.306524,48635.99913,21249
0.283138,0.405546,0.789628,"Eltham North",0.311317,49129.52729,21251
0.448688,0.366427,0.738074,"Elwood",0.184885,57027.71241,21253
0.157721,0.565405,0.684091,"Endeavour Hills",0.276873,33711.59647,21257
0.093139,0.654417,0.680827,"Epping",0.252444,32619.1325,21259
0.349143,0.40078,0.767809,"Essendon",0.250077,49209.15759,21261
0.255396,0.484712,0.744834,"Essendon North",0.259892,43942.37014,21263
0.3,0.423529,0.775148,"Essendon West",0.276471,45899.87322,21265
0.04918,0.69555,0.543655,"Eumemmerring",0.255269,26881.73266,21267
0.406633,0.409287,0.707697,"Fairfield",0.18408,43696.47668,21269
0.125672,0.673772,0.5405,"Fawkner",0.200556,24696.0693,21271
0.127026,0.546653,0.741696,"Ferntree Gully",0.32632,37553.28616,21273
0.311086,0.390271,0.723864,"Ferny Creek",0.298643,43393.02846,21275
