fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
"Hard Court","20","Tennis (Outdoor)","East Malvern Tennis Club",10,"4. Good","N/A",3146,"STONNI11940","26 - 50 Years","Street","Female, Male",145.062722000035,-37.8666749988767,7818,19618,"GLEN IRIS","STONNINGTON","Moira"
"Hard Court","91","Tennis (Outdoor)","Easterverne Tennis Club",3,null,null,3145,"STONNI11937",null,"Road",null,145.053584000026,-37.8728679989757,7819,19614,"EAST MALVERN","STONNINGTON","Manning"
"Hard Court","12","Tennis (Outdoor)","Hawksburn Tennis Club",3,"4. Good","1 - 5 Years",3141,"STONNI11962","51 Years +","Avenue","Female, Male",145.000641000529,-37.8419099995166,7820,19666,"SOUTH YARRA","STONNINGTON","Bunalbo"
"Grass","489","Tennis (Outdoor)","Kooyong Lawn Tennis Club",26,"5. Very Good","1 - 5 Years",3144,"STONNI11947","51 Years +","Road","Same as above",145.029607000279,-37.838843999339,7821,19631,"KOOYONG","STONNINGTON","Glenferrie"
"Plexipave","489","Tennis (Outdoor)","Kooyong Lawn Tennis Club",3,"5. Very Good","1 - 5 Years",3144,"STONNI11947","11 - 25 Years","Road","Same as above",145.029607000279,-37.838843999339,7822,19633,"KOOYONG","STONNINGTON","Glenferrie"
"Hard Court","489","Tennis (Outdoor)","Kooyong Lawn Tennis Club",22,"5. Very Good","1 - 5 Years",3144,"STONNI11947","11 - 25 Years","Road","Same as above",145.029607000279,-37.838843999339,7823,19632,"KOOYONG","STONNINGTON","Glenferrie"
"Hard Court","256","Tennis (Outdoor)","Malvern Glendearg Tennis Club",2,"2. Poor","N/A",3144,"STONNI11953","51 Years +","Road",null,145.039000000208,-37.8642879988131,7824,19642,"MALVERN","STONNINGTON","Wattletree"
"Artificial Turf","43A","Tennis (Outdoor)","Malvern Tennis Centre",5,"4. Good","11 + Years",3143,"STONNI11923","11 - 25 Years","Street","Female, Male",145.02348000042,-37.8586599989087,7825,19591,"ARMADALE","STONNINGTON","Union"
"Artificial Turf","603","Tennis (Outdoor)","Orrong Park Tennis Centre",6,"4. Good","N/A",3181,"STONNI11957","6 - 10 Years","Road","Female, Male",145.010881999678,-37.850684999121,7826,19651,"PRAHRAN","STONNINGTON","Orrong"
"Artificial Turf","10","Tennis (Outdoor)","Penpraze Park",2,"2. Poor","11 + Years",3145,"STONNI11928","26 - 50 Years","Road South",null,145.03793500023,-37.8707959993765,7827,19602,"EAST MALVERN","STONNINGTON","Victoria"
"Plexipave","12","Tennis (Outdoor)","Princess Gardens",3,null,null,3181,"STONNI11956",null,"Street",null,144.995406999812,-37.8482349986719,7828,19650,"PRAHRAN","STONNINGTON","Little Chapel"
"Grass",null,"Tennis (Outdoor)","Royal South Yarra Tennis Courts",10,"5. Very Good","1 - 5 Years",3142,"STONNI11965","51 Years +","Road","Female, Male",145.005879000354,-37.8353819992277,7829,19672,"TOORAK","STONNINGTON","Williams"
"Hard Court",null,"Tennis (Outdoor)","Royal South Yarra Tennis Courts",15,"5. Very Good","1 - 5 Years",3142,"STONNI11965","51 Years +","Road","Female, Male",145.005879000354,-37.8353819992277,7830,19673,"TOORAK","STONNINGTON","Williams"
"Artificial Turf","679","Tennis (Outdoor)","South Yarra Sports Centre",4,"4. Good","N/A",3141,"STONNI11961","11 - 25 Years","Street","Female, Male",144.995195000103,-37.8369829987126,7831,19664,"SOUTH YARRA","STONNINGTON","Chapel"
"Hard Court","21","Tennis (Outdoor)","St Andrew's Gardiner Tennis Club",5,"4. Good","1 - 5 Years",3146,"STONNI11941","26 - 50 Years","Road","Female, Male",145.053562000445,-37.8531189990917,7832,19619,"GLEN IRIS","STONNINGTON","Kyarra"
"Hard Court",null,"Tennis (Outdoor)","St Peters Toorak Tennis Club",3,"4. Good","N/A",3142,"STONNI11966","51 Years +","Street","Female, Male",145.016477000007,-37.8411609986945,7833,19674,"TOORAK","STONNINGTON","Dalriada"
"Artificial Turf",null,"Tennis (Outdoor)","St Roch's Tennis Courts",2,"3. Average","N/A",3146,"STONNI11942","26 - 50 Years","Road",null,145.052673000226,-37.8570059993446,7834,19620,"GLEN IRIS","STONNINGTON","Valency"
"Wooden Gymnasium","679","Volleyball","South Yarra Sports Centre",null,"4. Good","N/A",3141,"STONNI11961","11 - 25 Years","Street","Female, Male",144.995195000103,-37.8369829987126,7835,19665,"SOUTH YARRA","STONNINGTON","Chapel"
"Grass","33A","Australian Rules Football","Avenel Recreation Reserve",1,"4. Good","11 + Years",3664,"STRATH12898","51 Years +","Street","Female, Male, Umpire/Officials",145.236618000313,-36.9012379993811,7836,21621,"AVENEL","STRATHBOGIE","Anderson"
"Grass",null,"Australian Rules Football","Euroa Memorial Oval",1,"4. Good","11 + Years",3666,"STRATH12904","51 Years +","Street","Female, Male, Umpire/Officials",145.574775999922,-36.7466329992016,7837,21635,"EUROA","STRATHBOGIE","Dunn"
"Grass","2A","Australian Rules Football","Longwood Recreation Reserve",1,"4. Good","11 + Years",3665,"STRATH12908","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.427494999681,-36.8047359991502,7838,21644,"LONGWOOD","STRATHBOGIE","Down"
"Grass","1","Australian Rules Football","Nagambie Recreation Reserve",1,"5. Very Good","1 - 5 Years",3608,"STRATH12911","11 - 25 Years","Road","Female, Male, Umpire/Officials",145.148745999551,-36.7927369990971,7839,21647,"NAGAMBIE","STRATHBOGIE","Blayney"
"Grass","2","Australian Rules Football","Violet Town Recreation Reserve",1,"5. Very Good","6 - 10 Years",3669,"STRATH12919","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.719802999659,-36.634856998676,7840,21663,"VIOLET TOWN","STRATHBOGIE","Tulip"
null,"89 - 91","Skating","Bob Pettit Reserve",1,"4. Good",null,3228,"SURFCO11864","0 - 5 Years","Strip",null,144.294278999837,-38.3483479989836,7980,27829,"JAN JUC","SURF COAST","Sunset"
"Wooden Flooring",null,"Badminton","EUROA ECAS Centre",4,"4. Good","6 - 10 Years",3666,"STRATH12901","11 - 25 Years","Street","Female, Male",145.564360000206,-36.7583209992941,7841,21629,"EUROA","STRATHBOGIE","Clifton"
"Wooden Flooring","29","Badminton","Strathbogie Memorial Hall",2,"4. Good","11 + Years",3666,"STRATH12915","51 Years +","Street","Unisex",145.745224999605,-36.7551389992992,7842,21653,"STRATHBOGIE","STRATHBOGIE","Main"
"Wooden Gymnasium",null,"Basketball","EUROA ECAS Centre",4,"4. Good","6 - 10 Years",3666,"STRATH12901","11 - 25 Years","Street","Female, Male",145.564360000206,-36.7583209992941,7843,21626,"EUROA","STRATHBOGIE","Clifton"
"Turf Pitch","33A","Cricket","Avenel Recreation Reserve",1,"4. Good","11 + Years",3664,"STRATH12898","51 Years +","Street","Female, Male, Umpire/Officials",145.236618000313,-36.9012379993811,7844,21622,"AVENEL","STRATHBOGIE","Anderson"
"Concrete Pitch","12 & 38","Cricket","Euroa Friendly Society Recreation Reserve",1,"2. Poor","11 + Years",3666,"STRATH12906","26 - 50 Years","Street","Male, Umpire/Officials",145.579507000362,-36.7473029986529,7845,21638,"EUROA","STRATHBOGIE","Gobur / Turnbull"
"Turf Pitch",null,"Cricket","Euroa Memorial Oval",1,"4. Good","11 + Years",3666,"STRATH12904","51 Years +","Street","Female, Male, Umpire/Officials",145.574775999922,-36.7466329992016,7846,21634,"EUROA","STRATHBOGIE","Dunn"
